run,device,model,audio_s,wall_time,RAM_peak,GPU_mean%,VRAM_peak,CPU_mean%,throughput
20250621_035610_small_int8,cuda,small,2597.1,1:28.25,2737,42.3,14426.0,NA,29.43
20250621_035025_tiny_int8,cuda,tiny,2597.1,1:25.64,2699,39.1,7578.0,NA,30.33
20250621_040435_turbo_int8,cuda,turbo,2597.1,1:41.80,4458,47.9,23898.0,NA,25.51
20250621_035316_base_int8,cuda,base,2597.1,1:26.36,2708,41.3,9818.0,NA,30.07
20250621_035442_small_float16,cuda,small,2597.1,1:27.80,2739,40.7,13402.0,NA,29.58
20250621_035913_medium_int8,cuda,medium,2597.1,1:33.80,2773,43.8,19354.0,NA,27.69
20250621_035738_medium_float16,cuda,medium,2597.1,1:34.68,2744,43.8,18394.0,NA,27.43
20250621_040237_large-v2_int8,cuda,large-v2,2597.1,1:57.47,4560,48.7,15864.0,NA,22.11
20250621_040047_large_int8,cuda,large,2597.1,1:50.42,3984,47.6,15864.0,NA,23.52
20250621_035150_base_float16,cuda,base,2597.1,1:25.55,2727,39.0,9050.0,NA,30.36
20250621_034859_tiny_float16,cuda,tiny,2597.1,1:25.78,2692,36.7,7034.0,NA,30.28
